"dist","scenario","n","rep","scheme","k","ref_kind","valid","reason","J_fro_rel","var_rel_err_max","se_rel_err_max","cov_offdiag_abs_err","chol_ok","rcond","asym","eig_min","eig_max","n_eval","secs"
"poisson","lambda_pequeno",100,1,"A",1,"observed",TRUE,NA,1.91161465989964e-07,1.91161429540605e-07,9.55807193808722e-08,NA,TRUE,1,0,4.00000076464586,4.00000076464586,3,0.00099999999999989
"poisson","lambda_pequeno",100,1,"B",1,"observed",TRUE,NA,4.7879795168182e-05,4.78775028029863e-05,2.39390379403251e-05,NA,TRUE,1,0,4.00019151918067,4.00019151918067,3,0
"poisson","lambda_pequeno",100,1,"C_richardson",1,"observed",TRUE,NA,6.89728720359994e-07,6.89728244678868e-07,3.44864181829607e-07,NA,TRUE,1,0,4.00000275891488,4.00000275891488,6,0
"poisson","lambda_pequeno",100,2,"A",1,"observed",TRUE,NA,1.79656067800238e-07,1.79656035599433e-07,8.98280217570546e-08,NA,TRUE,1,0,4.00000071862427,4.00000071862427,3,0.00099999999999989
"poisson","lambda_pequeno",100,2,"B",1,"observed",TRUE,NA,4.55420439775533e-05,4.55399699943399e-05,2.27702442390926e-05,NA,TRUE,1,0,4.00018216817591,4.00018216817591,3,0
"poisson","lambda_pequeno",100,2,"C_richardson",1,"observed",TRUE,NA,6.93563853237933e-07,6.9356337242376e-07,3.46781746374258e-07,NA,TRUE,1,0,4.00000277425541,4.00000277425541,6,0
"poisson","lambda_pequeno",100,3,"A",1,"observed",TRUE,NA,3.83299173734031e-08,3.83299188829594e-08,1.91649592421215e-08,NA,TRUE,1,0,9.99999961670083,9.99999961670083,3,0
"poisson","lambda_pequeno",100,3,"B",1,"observed",TRUE,NA,7.56380825999159e-05,7.56438041525555e-05,3.78211868552702e-05,NA,TRUE,1,0,9.999243619174,9.999243619174,3,0
"poisson","lambda_pequeno",100,3,"C_richardson",1,"observed",TRUE,NA,1.16554113969158e-06,1.16554249823646e-06,5.82771079460234e-07,NA,TRUE,1,0,9.9999883445886,9.9999883445886,6,0
"poisson","lambda_pequeno",1000,1,"A",1,"observed",TRUE,NA,1.40788576450571e-06,1.40788774689755e-06,7.03943625736788e-07,NA,TRUE,1,0,48.9999310135975,48.9999310135975,3,0
"poisson","lambda_pequeno",1000,1,"B",1,"observed",TRUE,NA,4.32394374998968e-06,4.32396244651559e-06,2.16197888621963e-06,NA,TRUE,1,0,48.9997881267563,48.9997881267563,3,0
"poisson","lambda_pequeno",1000,1,"C_richardson",1,"observed",TRUE,NA,6.35495384801511e-06,6.35499423372298e-06,3.17749206869337e-06,NA,TRUE,1,0,48.9996886072614,48.9996886072614,6,0
"poisson","lambda_pequeno",1000,2,"A",1,"observed",TRUE,NA,5.9721577417683e-07,5.97215417172067e-07,2.98607753154206e-07,NA,TRUE,1,0,47.0000280691414,47.0000280691414,3,0
"poisson","lambda_pequeno",1000,2,"B",1,"observed",TRUE,NA,0.000247552239416181,0.000247490972471434,0.000123753143655985,NA,TRUE,1,0,47.0116349552526,47.0116349552526,3,0
"poisson","lambda_pequeno",1000,2,"C_richardson",1,"observed",TRUE,NA,1.77791045893115e-06,1.77790729781504e-06,8.88954044025334e-07,NA,TRUE,1,0,47.0000835617916,47.0000835617916,6,0
"poisson","lambda_pequeno",1000,3,"A",1,"observed",TRUE,NA,2.0662577223821e-07,2.06625814755126e-07,1.03312901970864e-07,NA,TRUE,1,0,41.9999913217176,41.9999913217176,3,0
"poisson","lambda_pequeno",1000,3,"B",1,"observed",TRUE,NA,0.000282809150185076,0.000282889153826359,0.00014143457504368,NA,TRUE,1,0,41.9881220156922,41.9881220156922,3,0.00099999999999989
"poisson","lambda_pequeno",1000,3,"C_richardson",1,"observed",TRUE,NA,2.15881783831373e-06,2.15882249853018e-06,1.07941066664172e-06,NA,TRUE,1,0,41.9999093296508,41.9999093296508,6,0
"poisson","lambda_pequeno",10000,1,"A",1,"observed",TRUE,NA,1.30001976719067e-05,1.30003666791889e-05,6.50016221362053e-06,NA,TRUE,1,0,513.993317898397,513.993317898397,3,0
"poisson","lambda_pequeno",10000,1,"B",1,"observed",TRUE,NA,0.0011836390830857,0.00118223973792627,0.0005912946836646,NA,TRUE,1,0,514.608390488706,514.608390488706,3,0
"poisson","lambda_pequeno",10000,1,"C_richardson",1,"observed",TRUE,NA,1.90796158329422e-05,1.90792518081017e-05,9.53967140674203e-06,NA,TRUE,1,0,514.009806922538,514.009806922538,6,0
"poisson","lambda_pequeno",10000,2,"A",1,"observed",TRUE,NA,7.22354531412739e-06,7.22359749398758e-06,3.61179222445636e-06,NA,TRUE,1,0,496.996409897979,496.996409897979,3,0
"poisson","lambda_pequeno",10000,2,"B",1,"observed",TRUE,NA,0.0021243861528117,0.00212890877713842,0.00106388845924231,NA,TRUE,1,0,495.944180082053,495.944180082053,3,0
"poisson","lambda_pequeno",10000,2,"C_richardson",1,"observed",TRUE,NA,5.67434471025408e-06,5.67437690851563e-06,2.83718442934141e-06,NA,TRUE,1,0,496.997179850679,496.997179850679,6,0
"poisson","lambda_pequeno",10000,3,"A",1,"observed",TRUE,NA,2.27822404586664e-06,2.27821885565079e-06,1.13911007663813e-06,NA,TRUE,1,0,508.001157337815,508.001157337815,3,0.00099999999999989
"poisson","lambda_pequeno",10000,3,"B",1,"observed",TRUE,NA,0.00220791525045642,0.00220305110033445,0.00110213289863051,NA,TRUE,1,0,509.121620947232,509.121620947232,3,0
"poisson","lambda_pequeno",10000,3,"C_richardson",1,"observed",TRUE,NA,5.30459570399884e-05,5.30431433155427e-05,2.65219233640591e-05,NA,TRUE,1,0,508.026947346176,508.026947346176,6,0.00099999999999989
"poisson","lambda_grande",100,1,"A",1,"observed",TRUE,NA,5.54862995377839e-08,5.54862965088877e-08,2.77431487277025e-08,NA,TRUE,1,0,79774.0044263641,79774.0044263641,3,0
