"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"poisson","lambda_1",100,3,"A",1,1,"J_u[1,1]",73,72.999979019165,2.87408698095034e-07,"rel"
"poisson","lambda_1",100,3,"B",1,1,"J_u[1,1]",73,72.9921573073355,0.000107434146088994,"rel"
"poisson","lambda_1",100,3,"C_richardson",1,1,"J_u[1,1]",73,72.9998188018799,2.48216602900257e-06,"rel"
"poisson","lambda_1",1000,1,"A",1,1,"J_u[1,1]",990,989.99787902832,2.14239563604798e-06,"rel"
"poisson","lambda_1",1000,1,"B",1,1,"J_u[1,1]",990,989.397311922053,0.000608775836310037,"rel"
"poisson","lambda_1",1000,1,"C_richardson",1,1,"J_u[1,1]",990,989.994522094727,5.53323764993687e-06,"rel"
"poisson","lambda_1",1000,2,"A",1,1,"J_u[1,1]",1034,1033.99798583984,1.94793051861702e-06,"rel"
"poisson","lambda_1",1000,2,"B",1,1,"J_u[1,1]",1034,1033.35467933378,0.00062410122458234,"rel"
"poisson","lambda_1",1000,2,"C_richardson",1,1,"J_u[1,1]",1034,1033.98952229818,1.01331739100507e-05,"rel"
"poisson","lambda_1",1000,3,"A",1,1,"J_u[1,1]",951,950.999954223633,4.81349812697161e-08,"rel"
"poisson","lambda_1",1000,3,"B",1,1,"J_u[1,1]",951,950.623801070658,0.000395582470391133,"rel"
"poisson","lambda_1",1000,3,"C_richardson",1,1,"J_u[1,1]",951,951.000259399414,2.72764893861724e-07,"rel"
"poisson","lambda_1",10000,1,"A",1,1,"J_u[1,1]",10115,10114.8956298828,1.03183506858626e-05,"rel"
"poisson","lambda_1",10000,1,"B",1,1,"J_u[1,1]",10115,10070.6706988177,0.00438253101159257,"rel"
"poisson","lambda_1",10000,1,"C_richardson",1,1,"J_u[1,1]",10115,10114.1051025391,8.84723144772615e-05,"rel"
"poisson","lambda_1",10000,2,"A",1,1,"J_u[1,1]",10189,10189.228515625,2.24276793600942e-05,"rel"
"poisson","lambda_1",10000,2,"B",1,1,"J_u[1,1]",10189,10387.1587835539,0.0194483053836392,"rel"
"poisson","lambda_1",10000,2,"C_richardson",1,1,"J_u[1,1]",10189,10190.5514322917,0.000152265412863486,"rel"
"poisson","lambda_1",10000,3,"A",1,1,"J_u[1,1]",9852,9852.07177734375,7.2855606729598e-06,"rel"
"poisson","lambda_1",10000,3,"B",1,1,"J_u[1,1]",9852,9830.37786457606,0.00219469502882097,"rel"
"poisson","lambda_1",10000,3,"C_richardson",1,1,"J_u[1,1]",9852,9852.27880859375,2.82996948589119e-05,"rel"
