dgp,cfg,m,k,parameter,theta_true,R,n,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,median_abs_rel_err,p90_rel_err,p95_rel_err,catastrophic,catastrophic_rate
shape2_alto,P3w,3,3,shape2,4.0,300,1000,300,1.0,410.85061055601204,102.71265263900301,3303.3151147870267,825.8287786967567,0.3254383063818874,1.403973314044106,3.551224099944977,44,0.14666666666666667
shape2_alto,P3w,3,3,scale,500.0,300,1000,300,1.0,1375.3761862312645,2.750752372462529,9147.480238263082,18.294960476526164,0.2264436522562055,0.745028042889291,1.6037897190282446,22,0.07333333333333333
shape2_alto,P5,5,3,shape1,2.0,300,1000,300,1.0,0.011858046677203138,0.005929023338601569,0.12965654503892518,0.06482827251946259,0.038383576526219154,0.10991246855681466,0.12195168013171667,0,0.0
shape2_alto,P5,5,3,shape2,4.0,300,1000,300,1.0,55.45258488544075,13.863146221360187,676.5173510739113,169.12933776847782,0.3177409022782256,1.7602272296291264,4.015424825530976,46,0.15333333333333332
shape2_alto,P5,5,3,scale,500.0,300,1000,300,1.0,532.4602679833888,1.0649205359667777,4652.5539861723055,9.305107972344612,0.2092655755489981,0.9322560858366779,1.76772426214085,27,0.09
shape2_bajo,P3c,3,3,shape1,2.0,300,1000,300,1.0,0.0895400576733194,0.0447700288366597,0.34217803906101546,0.17108901953050773,0.09037451238285443,0.260829213554517,0.3298905963903872,1,0.0033333333333333335
shape2_bajo,P3c,3,3,shape2,0.5,300,1000,300,1.0,-0.00017327310017756226,-0.0003465462003551245,0.14553271156393197,0.29106542312786393,0.15435321654821266,0.39801852150892736,0.5225483234564693,2,0.006666666666666667
shape2_bajo,P3c,3,3,scale,500.0,300,1000,300,1.0,4.970974399500392,0.009941948799000783,108.55952486150207,0.21711904972300414,0.10634853404478917,0.280890177122938,0.3698963818169104,2,0.006666666666666667
shape2_bajo,P3w,3,3,shape1,2.0,300,1000,300,1.0,0.012857539441427868,0.006428769720713934,0.15822566062318433,0.07911283031159216,0.05245380622572532,0.1255771805081767,0.14654378560646344,0,0.0
shape2_bajo,P3w,3,3,shape2,0.5,300,1000,300,1.0,0.007270149435867679,0.014540298871735358,0.07216022770161354,0.14432045540322708,0.09844808724081,0.22528300718343605,0.287900485529351,0,0.0
shape2_bajo,P3w,3,3,scale,500.0,300,1000,300,1.0,8.058962485671998,0.016117924971343997,58.896871106842205,0.11779374221368441,0.07857808073324235,0.18249123799654512,0.22334234227204644,0,0.0
shape2_bajo,P5,5,3,shape1,2.0,300,1000,300,1.0,0.03193579183543749,0.015967895917718744,0.30132552643945726,0.15066276321972863,0.10228187617071205,0.22358217472371542,0.27177247985122704,0,0.0
shape2_bajo,P5,5,3,shape2,0.5,300,1000,300,1.0,0.016732702582904713,0.033465405165809425,0.11776262048059948,0.23552524096119895,0.15596953073092457,0.3955634148957691,0.4506590486250916,0,0.0
shape2_bajo,P5,5,3,scale,500.0,300,1000,300,1.0,18.047593932130667,0.03609518786426134,91.7099017944397,0.1834198035888794,0.11221062211517796,0.30414605491835073,0.4034193386514622,0,0.0
escala_x1000,P3c,3,3,shape1,2.0,300,1000,300,1.0,0.01616811215741487,0.008084056078707436,0.27318609055985266,0.13659304527992633,0.09750714491232004,0.19595385483871716,0.24124585640489543,0,0.0
escala_x1000,P3c,3,3,shape2,1.5,300,1000,300,1.0,62.29948351055168,41.53298900703445,402.1150668842806,268.0767112561871,0.3508800691806827,2.266785995587794,5.153365424624554,59,0.19666666666666666
escala_x1000,P3c,3,3,scale,500000.0,300,1000,300,1.0,1728025.57381432,3.45605114762864,10546380.57540891,21.092761150817818,0.2557342322939228,1.4154473617914618,2.766293761284251,41,0.13666666666666666
escala_x1000,P3w,3,3,shape1,2.0,300,1000,300,1.0,0.018463696011692843,0.009231848005846421,0.13993702835812757,0.06996851417906379,0.04240169041009445,0.1151957253669965,0.13833342594981493,0,0.0
escala_x1000,P3w,3,3,shape2,1.5,300,1000,300,1.0,0.07190300382958759,0.047935335886391726,0.45074658907912063,0.3004977260527471,0.15988855744172836,0.39337163809230813,0.5925248972829852,3,0.01
escala_x1000,P3w,3,3,scale,500000.0,300,1000,300,1.0,15644.370021614537,0.031288740043229075,109625.63592779597,0.21925127185559193,0.11473048175734397,0.2939083176621723,0.39230555534016776,3,0.01
escala_x1000,P5,5,3,shape1,2.0,300,1000,300,1.0,0.008400036569504277,0.004200018284752138,0.14890090404994444,0.07445045202497222,0.04280247405625959,0.12620421067075316,0.14596413796556928,0,0.0
escala_x1000,P5,5,3,shape2,1.5,300,1000,300,1.0,0.1172683323087147,0.0781788882058098,0.5130588580165591,0.3420392386777061,0.16948028279991223,0.4591910017297131,0.6590372469362189,6,0.02
escala_x1000,P5,5,3,scale,500000.0,300,1000,300,1.0,26100.617805786547,0.052201235611573096,122331.22750067819,0.24466245500135636,0.12191144364432828,0.3347853886472354,0.4579870991494585,3,0.01
