"dist","scenario","n","scheme","mle_converged","valid","reason","rcond","chol_ok","asym","eig_min","eig_max","step_stability","scale_stability","se_1","se_2","se_3"
"pareto","moderada",1000,"C_richardson",TRUE,TRUE,NA,0.013288124809058,TRUE,0,25.699597918958,1544.19817210296,6.77093387742179e-07,7.27661791796531e-06,0.320991786940147,175.127635568351,NA
"pareto","moderada",10000,"A",TRUE,TRUE,NA,0.0166482956791182,TRUE,0,319.64675185476,15105.3775832529,1.32644741403443e-06,1.81029543442829e-06,0.0793440267140365,42.4491996493719,NA
"pareto","moderada",10000,"B",TRUE,TRUE,NA,0.0164504010310271,TRUE,0,315.56228928241,15097.1192714181,0.000579829664084415,0.00032847919078571,0.0798755733690897,42.7089572230707,NA
"pareto","moderada",10000,"C_richardson",TRUE,TRUE,NA,0.0166497332043129,TRUE,0,319.676912982203,15105.4488042005,5.59097693579276e-06,3.73775366176709e-06,0.0793400762158948,42.4473180978379,NA
"pareto","cola_pesada",100,"A",TRUE,TRUE,NA,0.0188419159967533,TRUE,0,3.60020928351696,149.018300021415,2.85181919512551e-07,7.28830170087122e-08,0.688700007578486,728.84633218323,NA
"pareto","cola_pesada",100,"B",TRUE,TRUE,NA,0.018833563445248,TRUE,0,3.59844288102507,149.013781653478,4.16975593154984e-05,0.000208151516246205,0.68887843666455,729.013913959774,NA
"pareto","cola_pesada",100,"C_richardson",TRUE,TRUE,NA,0.0188419269243782,TRUE,0,3.60021165009166,149.018305248585,2.19166099570763e-07,2.16707759918774e-06,0.688699752267174,728.846116920125,NA
"pareto","cola_pesada",1000,"A",TRUE,TRUE,NA,0.0311860490102444,TRUE,0,56.7410136874451,1321.20103703051,3.84768223919724e-07,1.38857166711307e-06,0.0869337826489334,56.3453564264301,NA
"pareto","cola_pesada",1000,"B",TRUE,TRUE,NA,0.0311680580292755,TRUE,0,56.7015490245919,1321.07628863356,9.38218675078796e-05,0.000282276112436984,0.086967716853485,56.3630970515456,NA
"pareto","cola_pesada",1000,"C_richardson",TRUE,TRUE,NA,0.0311851171745264,TRUE,0,56.7389669258752,1321.19468184362,6.02090042539294e-06,1.51036123823212e-06,0.0869355667999673,56.3462697706126,NA
"pareto","cola_pesada",10000,"A",TRUE,TRUE,NA,0.032826268538102,TRUE,0,595.983208652704,13181.8991289868,2.90756153178008e-06,5.6997684697577e-06,0.0264806693851576,18.0495610777033,NA
"pareto","cola_pesada",10000,"B",TRUE,TRUE,NA,0.0329920208252161,TRUE,0,599.585857819383,13192.2064926283,0.000631278327696244,0.00249453461582177,0.0263914724215877,18.0005240676984,NA
"pareto","cola_pesada",10000,"C_richardson",TRUE,TRUE,NA,0.032827163370848,TRUE,0,596.003857230202,13181.9762038332,1.03130867106362e-05,1.65042024837358e-05,0.0264801334898412,18.0492837744426,NA
"burr","moderada",100,"A",TRUE,TRUE,NA,0.00138581062779822,TRUE,0,0.653766282328189,382.496444715306,3.67821682316862e-07,4.29372316692682e-07,0.231069539891821,3.71636544039541,874.621679232247
"burr","moderada",100,"B",TRUE,TRUE,NA,0.00136666996456699,TRUE,0,0.644759831127761,382.494015359738,3.82835421010506e-05,0.000155735050962613,0.232179507900712,3.7423192038932,880.638570423788
"burr","moderada",100,"C_richardson",TRUE,TRUE,NA,0.00138581505622817,TRUE,0,0.653768166892574,382.496387748673,6.15928920282189e-07,1.83027940416629e-06,0.231069762966237,3.71635961690896,874.620531391337
"burr","moderada",1000,"A",TRUE,TRUE,NA,0.00671497052073898,TRUE,0,29.1832110465361,2834.65139351449,2.7730453709788e-07,6.11637066508393e-07,0.0883178261726377,0.255058615625532,64.2992541668356
"burr","moderada",1000,"B",TRUE,TRUE,NA,0.00672965864979432,TRUE,0,29.247084687447,2834.7150966191,5.2490372314094e-05,0.000254035756891156,0.0882655110750534,0.254773792388443,64.232265943229
"burr","moderada",1000,"C_richardson",TRUE,TRUE,NA,0.00671546689539705,TRUE,0,29.1853520837481,2834.65241545396,1.23590769781736e-06,1.37248371969577e-06,0.0883155099780682,0.255049259423327,64.2969841827593
"burr","moderada",10000,"A",TRUE,TRUE,NA,0.00709946926816268,TRUE,0,285.19719295534,26748.9978197989,5.70706224928757e-07,1.69019607322977e-06,0.0281808377744069,0.0759020570264136,18.8440565096269
"burr","moderada",10000,"B",TRUE,TRUE,NA,0.00722640752019839,TRUE,0,290.257598013237,26752.5210090685,0.000429978405973523,0.000469415764122864,0.0279972033363131,0.0752348338178322,18.6861749581383
"burr","moderada",10000,"C_richardson",TRUE,TRUE,NA,0.00709931432430364,TRUE,0,285.191122553939,26749.0012147463,5.23981417265655e-06,5.65856092575956e-06,0.0281813818708385,0.0759027785304395,18.8442550585009
"burr","pesada",100,"A",TRUE,TRUE,NA,0.00982793172049577,TRUE,0,2.62766984584089,195.78343050485,3.16934377739969e-07,3.08894151747901e-07,0.181104362906971,0.27661151489713,207.056609139547
"burr","pesada",100,"B",TRUE,TRUE,NA,0.00985641035202805,TRUE,0,2.63550880641618,195.788606259499,8.45677120973159e-05,0.000163585939058383,0.180886218976232,0.276183525852737,206.769274764376
"burr","pesada",100,"C_richardson",TRUE,TRUE,NA,0.00982800382511495,TRUE,0,2.62768898184887,195.783549596367,1.47053891959427e-06,1.81051507856406e-06,0.181103605504516,0.276610469132178,207.055924589816
"burr","pesada",1000,"A",TRUE,TRUE,NA,0.0130574452331205,TRUE,0,34.5931505631018,1930.4976208506,1.72943835599347e-07,2.69714142198621e-06,0.0568044771388266,0.0798283536464132,51.9357441802975
"burr","pesada",1000,"B",TRUE,TRUE,NA,0.0130258460848084,TRUE,0,34.5113398095907,1930.51187356404,0.000198239349976065,0.000696334124774715,0.05687869132514,0.0799266532299213,51.9897469591752
"burr","pesada",1000,"C_richardson",TRUE,TRUE,NA,0.013057106906557,TRUE,0,34.5922064993877,1930.49431673995,2.10654163452181e-06,8.15661783321774e-06,0.0568051171551547,0.0798294759868115,51.9363943501222
"burr","pesada",10000,"A",TRUE,TRUE,NA,0.0116164831327112,TRUE,0,309.167658109687,19455.6519569584,8.47902601774364e-07,4.69427466825286e-06,0.0193011766574003,0.0263532795196087,17.0821275216554
"burr","pesada",10000,"B",TRUE,TRUE,NA,0.0116480815153591,TRUE,0,310.017562664894,19461.7704933728,0.000672267374828177,0.000710843245178074,0.0192656605224526,0.0263149071141581,17.062088369128
"burr","pesada",10000,"C_richardson",TRUE,TRUE,NA,0.0116169573414563,TRUE,0,309.178774508409,19455.8160391385,1.92590610921088e-05,1.11621685389686e-05,0.0193003445102478,0.0263528349807195,17.0818795711433
"burr","shape2_bajo",100,"A",TRUE,TRUE,NA,0.0203258156436314,TRUE,0,6.70890803557679,235.699676659516,2.6729757946555e-07,4.36258982312375e-07,0.426730671327523,0.149126886441552,109.370766174149
"burr","shape2_bajo",100,"B",TRUE,TRUE,NA,0.0203442912717526,TRUE,0,6.71502489484354,235.701523488502,2.40471878881143e-05,0.000172195466954931,0.426567170077713,0.149059096237998,109.331132641918
"burr","shape2_bajo",100,"C_richardson",TRUE,TRUE,NA,0.0203257821778859,TRUE,0,6.70889811968793,235.699739706836,6.87278255366459e-07,1.68204436753037e-06,0.426730772999877,0.149127006475754,109.370837473148
"burr","shape2_bajo",1000,"A",TRUE,TRUE,NA,0.0182060905773759,TRUE,0,55.080502856941,2221.9038984702,4.45446133064523e-07,1.61958483278902e-06,0.123185716806912,0.0456519748309797,36.9793427331604
"burr","shape2_bajo",1000,"B",TRUE,TRUE,NA,0.018196958628914,TRUE,0,55.0571454732075,2221.81997204807,0.000129233737069224,0.000617135820707519,0.123244724678389,0.0456591845437683,36.9835232349876
"burr","shape2_bajo",1000,"C_richardson",TRUE,TRUE,NA,0.0182050187975579,TRUE,0,55.077258460113,2221.90284631968,2.06317676138177e-06,6.93300860629792e-06,0.123188754137295,0.0456533428774725,36.9802272997057
"burr","shape2_bajo",10000,"A",TRUE,TRUE,NA,0.0196965300571209,TRUE,0,588.790013934621,22070.9407844672,1.61876962412583e-06,7.8691918867454e-06,0.0351906124870372,0.0152500783516551,12.70596797976
"burr","shape2_bajo",10000,"B",TRUE,TRUE,NA,0.0198535366653626,TRUE,0,593.608709973204,22072.3883904251,0.000744950336396035,0.00150379101540462,0.0350960608153035,0.0151853157451031,12.6622678894383
"burr","shape2_bajo",10000,"C_richardson",TRUE,TRUE,NA,0.0196980748643694,TRUE,0,588.84080290829,22070.9406217525,1.37122031062841e-05,2.87684090222348e-05,0.0351902483809371,0.0152493678762732,12.7054327673302
